,CASP biorep1 400min,CASP biorep1 511min,CASP biorep1 621min,EXP biorep2
ERCC-00004,87808,68211,96211,20038
ERCC-00170,371,218,374,79
ERCC-00168,14,14,27,3
ERCC-00126,165,137,176,45
ERCC-00111,7698,5766,8161,1845
ERCC-00085,125,84,132,17
ERCC-00144,178,174,216,56
ERCC-00148,51,28,52,13
ERCC-00062,1413,982,1620,261
ERCC-00042,11378,9524,13386,2656
ERCC-00012,3,1,2,1
ERCC-00084,682,532,631,160
ERCC-00060,3164,1789,3676,661
ERCC-00116,26590,22309,24379,5643
ERCC-00117,3,3,1,0
ERCC-00058,52,39,63,13
ERCC-00158,16,7,11,2
ERCC-00078,825,637,884,220
ERCC-00079,774,515,746,152
ERCC-00041,6,5,11,2
ERCC-00092,7585,5861,7329,1703
ERCC-00061,2,1,5,0
ERCC-00150,48,35,43,6
ERCC-00086,0,1,3,0
ERCC-00046,51656,36409,47766,11249
mscL,6975,7848,8584,731
zupT,1370,2030,2182,526
HQ24_RS13890,52,28,21,1030
carB,281,82,79,11202
mepS,162,128,85,8370
rsxE,20,55,21,398
cbpM,443,211,302,139
cybB,125,204,168,363
rcbA,13,5,1,5
xanQ,123,64,50,45
citT,28,16,21,16
corC,4225,654,1651,2922
cutC,1944,1118,1552,614
xdhC,43,29,24,66
ydgJ,933,613,683,1753
mutS,94,164,82,1573
hpt,290,592,353,595
ydbL,344,201,274,174
ftsW,403,125,123,1078
yciV,328,279,353,329
mutY,316,179,129,811
prfB,401,839,517,4778
ppdC,37,65,46,101
hyaC,367,171,421,17
viaA,450,163,161,468
nagD,567,835,593,811
glcE,257,169,165,173
rayT,110,65,99,75
HQ24_RS19970,49,45,33,238
tolC,3265,2401,2186,6730
tpx,1092,1928,1730,2881
elfC,98,71,75,72
yebE,408,334,484,341
yheT,281,208,165,425
lsrK,1116,155,233,2466
hypA,22,10,19,46
ytgA,95,97,90,76
yrdB,339,202,211,269
ynfQ,17,17,11,55
ubiJ,605,427,258,1083
HQ24_RS18580,2,1,0,2
rplW,432,1024,263,18674
glmU,2835,3211,2692,2390
glpQ,1395,1166,1182,527
grxA,10,11,25,7
djlC,91,48,43,73
yiaG,8796,7925,7844,881
ampD,187,309,181,141
HQ24_RS07985,5,3,2,25
napG,19,13,8,100
arfB,165,120,120,133
fadM,178,76,107,97
garD,1379,3326,2486,271
ppa,1976,1548,1712,4598
rrf,10,1,43,60
HQ24_RS26025,27,14,23,5
ybdF,190,72,106,118
ygfM,15,4,9,32
epd,1785,1429,1549,1839
hscB,298,147,131,1161
ilvD,332,263,249,677
mpl,350,637,434,1473
rfaC,630,78,110,849
slp,1509,197,127,272
HQ24_RS22605,450,303,308,357
hyfR,57,25,16,51
yafV,1304,2043,1415,257
sgcX,1023,1676,1314,138
waaA,395,568,535,1060
wcaJ,13,13,12,23
yqgB,5,8,4,310
kdpA,29,67,42,9
sbcB,218,125,196,651
tyrP,353,203,203,260
add,935,1949,1683,221
gspD,95,22,37,72
HQ24_RS26845,0,3,3,12
melA,445,262,329,117
yafQ,348,252,362,205
mpaA,4096,4753,4513,669
hypB,32,40,35,150
rpmF,991,1309,809,5943
elbB,571,161,259,448
HQ24_RS26430,15,10,7,8
yaeR,408,158,195,173
dsdC,128,154,144,97
rna-HQ24_RS17410,2804,419,8982,2830
yncJ,41,22,19,28
yiaK,50,72,61,76
dinF,551,310,359,822
ybaT,852,86,65,251
yccF,22,32,12,125
lipB,83,67,45,261
ompC,5337,4453,4639,48938
cmoA,179,154,102,498
pabC,206,308,200,334
HQ24_RS26540,13,10,15,23
gltB,455,127,106,5214
hupB,463,927,399,11353
tamA,526,225,207,644
yahK,8205,2552,2343,1204
dgcI,32,25,23,33
yebF,2034,2671,1906,2519
gspG,8,4,1,6
rpsI,858,1244,634,18033
yfbK,37,25,30,30
yfjI,48,14,25,34
hyfA,2,0,1,10
gspA,41,15,18,24
trpA,209,110,114,3853
lhr,877,58,176,1004
narJ,41,55,64,32
dpiB,95,73,61,148
ydcV,672,61,154,2299
prpD,1491,122,526,325
HQ24_RS14315,1,0,0,2
rsxG,30,30,18,346
ydeJ,1757,2565,2036,72
ydfU,7,2,2,29
ycaQ,118,70,47,386
relE,2412,2573,4322,396
yahG,41,25,20,20
HQ24_RS15315,252,218,237,113
HQ24_RS26890,2,1,0,1
ypeC,89,46,57,66
HQ24_RS06795,7,1,1,10
tusA,63,34,26,87
ysaE,5,3,2,30
bcsZ,41,23,13,87
nuoK,237,46,85,1367
HQ24_RS14950,511,219,242,185
ycjS,21,7,13,63
yhbS,680,1567,863,593
groS,431,531,389,2115
ppnN,2374,578,1392,3259
wzxC,14,7,7,48
yjeJ,17,15,12,79
cdaR,104,122,95,426
era,4189,5504,4741,2925
nuoH,918,178,236,6681
fliF,20,12,13,10225
HQ24_RS05035,18,20,14,2
phnP,412,275,176,155
thiE,57,21,36,181
yfcA,158,58,63,635
rhtB,39,55,49,64
ykgV,7,0,0,22
thrB,1106,1508,1047,1178
phoU,161,336,159,452
HQ24_RS14810,337,73,146,5184
exuR,1664,2982,2218,1040
tdcB,24,29,18,51
trpS,620,987,602,2091
tynA,63,42,38,70
yheV,227,73,101,118
hsdM,85,55,35,1152
rlmN,1841,1875,1690,3010
pdxJ,630,313,261,917
ycjY,181,122,85,65
HQ24_RS10175,1,0,2,9
ydeP,188,311,322,133
yjdF,33,45,31,60
eutB,55,82,128,212
ygiD,165,194,177,86
idi,1496,1127,1083,201
mnmH,91,75,67,149
astC,7822,28042,22736,5709
kdsB,628,633,311,1142
pepA,4759,10990,6824,3255
paaY,1187,284,892,783
traD,131,51,60,4419
yihG,20,11,10,132
pqqL,108,96,82,181
yhcF,194,93,129,78
ydiQ,20,21,40,15
HQ24_RS14355,802,758,564,529
ssrS,37956,41052,23808,3376
perR,17,15,16,52
yqaA,473,273,249,696
yjbE,27,12,13,21
cbtA,4,2,0,1
hycG,24,30,23,15
clpS,442,301,427,174
feaB,925,1281,1280,630
HQ24_RS26015,0,0,0,0
mnmC,425,98,123,898
pxpB,793,1178,795,640
HQ24_RS03560,12,6,3,6
fadK,60,40,47,34
dnaQ,1446,2079,1443,384
ubiX,72,68,43,662
yegQ,749,784,879,1195
wcaI,11,4,6,27
ycfL,834,887,702,455
minD,693,1309,817,2711
HQ24_RS13615,0,0,0,1
nei,65,30,16,185
yceK,36,6,5,42
HQ24_RS06950,17,33,25,0
rutR,236,185,240,76
mtlR,1326,437,647,603
yeaD,360,285,399,1219
fldA,984,1102,748,1265
betB,1019,1142,1024,750
rhaA,9,11,13,13
cheY,71,18,20,1444
ecnA,120,290,164,290
exuT,1232,1112,966,682
prfC,262,422,197,2837
sufC,1648,820,1513,398
yjjX,112,222,111,135
fixB,11,8,1,16
mdtH,73,36,34,225
rplC,962,2348,609,38394
fabB,5050,6631,5188,29665
fhuC,330,104,122,550
rlmH,64,79,48,815
ygfT,89,96,85,139
frvB,93,58,31,21
iraM,1,3,0,15
HQ24_RS20415,14,14,1,140
pntA,1548,2012,1848,5462
menE,563,125,81,1072
trmL,28,8,4,114
eutH,222,186,165,39
tonB,511,506,432,951
yfcR,7,5,3,7
crl,1411,686,905,1541
yohC,31867,46925,46730,301
HQ24_RS03630,83,70,62,18
hflX,6878,5699,5075,4346
yncD,666,169,204,740
mgrB,142,67,112,855
oppD,1281,195,432,14440
yfgM,732,443,369,2310
ykgG,107,62,66,189
rpmD,401,1080,386,5145
fieF,1245,908,1055,669
uhpC,26,12,14,147
ubiV,26,11,12,24
HQ24_RS11580,16,11,5,136
yfcV,8,13,12,4
rna-HQ24_RS20405,1591,197,4355,1613
pfkA,8591,12223,8968,2501
aslA,182,147,128,61
rdgB,83,81,69,752
ydiV,537,339,427,273
rhaM,5,2,7,4
gltP,101,220,115,194
yaaA,173,320,253,277
ydiH,330,24,61,218
yqhH,26,10,15,14
btuF,56,16,18,343
rpoZ,1215,635,597,1012
gloA,757,567,677,520
ttdT,9,3,7,11
chaB,706,930,759,72
HQ24_RS26885,1,0,1,1
cynT,20,22,25,13
araC,826,1422,1331,204
murI,201,177,176,616
yfiB,65,9,11,170
ompT,456,156,259,4832
HQ24_RS23800,9,14,8,5
cyoE,903,397,435,10262
cdgI,192,68,78,32
tcyL,988,859,841,704
yihA,664,747,609,598
yjcO,186,266,212,279
HQ24_RS16865,25,11,8,384
sgbU,8,2,9,38
rcdB,82,76,51,66
kefB,867,257,429,390
malF,39,19,34,2869
mobA,231,259,189,95
HQ24_RS26950,7,7,2,4
yadV,1,1,0,1
pflC,29,21,15,21
fdoH,3685,3117,4769,6833
lysA,249,100,131,134
glnS,797,1236,934,3858
ortT,38,16,18,138
tsaB,41,26,20,702
yceH,461,1155,860,449
wcaD,43,15,20,25
ydhF,4057,2540,3030,1000
yecN,530,301,273,374
yfcF,949,1206,746,464
yeiQ,187,248,281,845
ykgM,5,13,19,2
mazG,1043,513,720,420
recQ,78,50,34,1199
yqeF,1985,3861,2100,6935
nadD,390,152,168,524
radC,100,99,99,195
paoA,271,370,236,57
gpt,86,130,133,624
tatD,140,60,52,423
cspF,2,3,5,206
usg,327,298,205,1201
HQ24_RS26770,18,9,15,4
ygaP,176,108,136,118
sdhE,217,106,142,405
ssnA,29,16,25,28
traL,507,339,185,7345
ypfM,321,605,773,139
HQ24_RS26585,1,0,0,0
ybeD,399,783,726,300
flgM,93,174,142,1361
yedE,50,34,16,263
HQ24_RS26185,5,1,1,9
sltY,627,645,489,1022
yhgN,25,41,29,157
phnF,3,1,2,0
HQ24_RS26525,0,2,0,3
ynfA,43,23,36,50
ghxQ,205,91,92,146
fucA,36,40,34,69
ybgE,619,166,287,530
yjiM,481,227,237,85
HQ24_RS06350,17,6,8,79
hyaA,979,761,1519,24
xanP,14,14,10,2793
HQ24_RS01245,13,14,7,18
decR,389,304,337,101
ybiW,83,35,72,53
HQ24_RS10215,49,19,27,26
gppA,1413,507,450,3035
nanQ,701,217,297,240
HQ24_RS01420,113,101,86,68
yjeT,16,3,5,34
yjbJ,19619,8940,12938,390
yjjW,14,12,9,15
gadA,2563,513,431,657
essD,18,12,13,8
trbC,45,41,36,2034
yadL,45,48,49,13
sthA,1456,317,549,6905
ddpA,1560,94,228,2801
traC,123,84,91,9358
tsf,1323,796,443,12470
yceB,269,389,275,267
basR,755,931,858,211
yraQ,404,503,397,432
wzb,2,1,1,4
gspJ,4,4,1,8
hsdS,30,4,2,647
fruB,2074,3805,3178,583
mnmE,448,338,286,984
glnQ,376,528,290,2749
pal,2954,6717,5072,7074
pdeD,1272,834,774,182
rffC,101,36,45,447
HQ24_RS26780,138,116,96,103
roxA,3450,5695,3807,1826
yedI,1572,1391,1420,406
ftsX,1170,916,979,1040
hpf,1640,288,541,953
torI,56,33,65,120
qseC,141,136,107,91
manY,7073,17280,10026,6889
mCherry,889,800,767,269
dnaT,380,191,186,294
kdpC,40,48,32,24
yqiI,19,11,18,13
zwf,1445,2501,2115,1974
araF,621,1179,850,42700
mdtC,620,65,136,319
emtA,539,493,473,443
nikR,44,41,37,84
ydiJ,152,97,97,5925
yehL,9,4,8,16
HQ24_RS14990,59,14,22,50
mdtE,58,24,22,64
yggI,29,16,9,89
hemC,2119,4108,2239,1335
kdpD,983,910,1086,426
yhhL,61,31,33,111
HQ24_RS14905,0,0,1,0
yiaN,9,3,1,16
gltA,4948,6749,13178,11854
punC,277,252,168,101
ibaG,73,43,45,422
yahN,198,219,307,41
HQ24_RS08900,9,10,5,5
gspC,100,55,53,37
yjdJ,824,388,635,133
yqiM,18,23,45,34
yejE,105,9,14,268
HQ24_RS13625,24,24,29,30
nhaR,776,291,291,414
yefM,246,503,722,136
abpB,423,110,144,716
fbp,630,1345,994,2104
ybiY,7,4,4,3
paaD,11,6,9,32
cyoD,101,65,97,2469
uspG,2699,6137,7110,557
phoB,853,946,735,473
rraA,1395,3019,1563,603
rna-HQ24_RS21035,2925,446,9306,3039
sucC,818,347,348,19526
treA,3058,789,1686,1339
argP,388,841,464,676
fiu,181,75,89,2706
dinQ,899,827,737,446
ynjD,39,21,15,65
pcnB,509,399,318,3308
rplU,444,282,311,5691
galP,2334,3035,3404,904
rnpA,157,163,91,2266
secE,3954,3670,3563,4064
csgF,38,12,18,347
cynS,27,11,15,10
wzyE,256,99,119,397
alaA,214,66,86,3650
ybjI,96,110,87,293
mglA,407,173,144,2215
clsB,1155,459,614,188
fabG,5036,6125,3216,9207
HQ24_RS05990,2,0,1,0
inaA,267,162,202,447
cysJ,66,34,27,453
fepB,446,556,334,507
paaZ,23,24,25,39
yrbL,13607,24279,15646,2809
pspG,549,2062,2001,18
nrdR,208,330,221,440
pxpA,331,229,182,427
racR,232,119,122,618
hslR,551,521,465,472
ybaB,426,346,730,750
focA,4016,4057,4111,714
rcnA,23,16,9,55
thiH,138,21,50,316
ygbM,101,39,44,42
gspF,19,4,6,18
yhgE,299,164,176,232
ygfF,87,82,57,998
rplJ,3504,7752,3752,27740
leuO,111,112,107,44
xni,32,75,55,288
hyfE,13,3,8,5
yajD,246,368,372,380
frwB,2,8,4,18
glnD,464,392,358,940
glnG,1368,855,1220,370
tdcA,41,43,25,23
cpxR,1563,2232,1870,963
yafC,379,246,326,146
blc,3551,5415,5617,353
HQ24_RS26850,576,211,324,371
cpxP,1081,1064,1531,1311
rsmD,65,77,56,159
ybbP,340,156,179,702
pat,6248,4335,5200,4122
rsmC,300,399,260,592
HQ24_RS14835,19,21,18,74
ybiO,415,163,154,149
bioA,75,438,195,531
HQ24_RS13620,5,3,6,7
HQ24_RS14925,29,20,17,4
rbsB,780,593,592,6297
aldB,30043,19808,16451,3232
rpsB,3584,2337,1585,27385
yebC,700,734,567,2153
HQ24_RS26925,15939,5159,10998,10595
HQ24_RS07200,294,215,222,132
HQ24_RS13555,68,17,20,120
betI,643,915,843,292
HQ24_RS24785,22,2,10,89
phnI,2,3,0,3
yggC,333,155,136,322
yfiR,202,110,151,200
ygcE,46,30,31,78
puuA,804,1132,1110,652
hyaF,298,37,137,25
yebV,5920,733,1410,1278
cheA,422,262,327,6101
prs,664,1052,410,13017
argS,670,757,562,2635
yagF,938,527,652,846
HQ24_RS16230,812,704,536,532
tamB,350,208,203,1131
hdhA,2709,6153,4534,810
rna-HQ24_RS19945,1579,190,4404,1544
hcxB,375,373,424,778
aqpZ,3431,2509,2337,246
yqeB,296,118,131,246
adeQ,311,159,166,38
fdrA,114,53,86,38
livJ,81,69,44,4466
yeiH,209,155,170,224
dkgA,6057,3223,7975,489
proW,45,49,35,348
HQ24_RS01445,135,111,93,236
pykF,13317,17505,17662,4710
hlyD,469,639,597,190
yeeZ,2704,4181,4851,1147
hofM,26,26,26,61
ispA,263,309,181,1881
yoeB,366,526,941,182
HQ24_RS07510,30,20,33,11
fliE,29,17,21,1608
ccmE,24,20,12,99
yhhJ,89,41,66,327
yjfF,993,130,311,164
yccM,45,59,37,18
tyrR,2824,5430,4371,1519
ydeM,11,8,9,93
yfjY,0,4,3,0
bssR,27777,33313,35264,67
cadB,17,17,36,7
cspI,53,87,65,297
arfA,215,181,171,76
ybaP,53,57,45,191
nikA,12,4,8,33
HQ24_RS12170,15,6,5,13
torY,37,39,39,28
yhdU,11,8,5,60
ttdB,2,4,5,3
ygeA,89,71,62,370
ecnB,276,176,214,61
yoaC,2049,1287,2015,290
cynX,54,23,29,61
yccU,3849,3144,4588,354
rep,118,75,65,572
purL,193,104,100,15057
srkA,344,327,247,1251
yjiK,27,12,15,18
yfdX,25,30,35,16
ycjX,308,336,216,419
yecT,19,5,9,53
fdnI,37,37,31,42
ybhJ,92,40,60,82
ybiU,315,306,311,334
yjfI,7,0,2,2
gsiB,911,189,302,634
rna-HQ24_RS23550,12,0,2,125
HQ24_RS26070,65,162,302,91
HQ24_RS08035,9,9,3,31
HQ24_RS15445,2,1,1,0
xthA,501,527,349,775
aroC,416,417,347,1993
msrC,1033,707,517,1603
HQ24_RS26730,5,5,7,7
idlP,1,0,1,2
ygjG,38421,8874,17804,2129
artJ,4793,1162,1700,1359
HQ24_RS26820,8,3,0,6
entF,1430,232,556,1640
HQ24_RS26815,4,1,1,4
chbC,487,405,489,242
HQ24_RS12395,157,110,87,2709
HQ24_RS17095,38,19,23,25
scpC,24,14,3,50
uraA,44,30,31,1603
symE,24,9,15,34
yhjG,5899,4486,4869,1348
ylbF,25,13,14,22
pstA,141,153,91,366
sodB,508,339,400,2511
yhjY,3205,2585,2205,310
kbaY,26,62,43,27
glmS,6212,14470,10177,5243
pdeF,53,45,50,98
oppB,865,307,468,12563
aroB,1762,1581,1106,4697
phnK,8,10,6,8
narX,458,642,592,376
aat,658,1039,774,492
deoD,4287,3978,6083,3754
HQ24_RS12090,40,8,20,35
leuA,227,148,146,737
crcB,339,293,365,37
HQ24_RS12135,57,2,6,1266
intD,370,220,234,497
sbp,79,75,68,168
ulaC,17,27,13,40
yfaE,32,13,14,175
HQ24_RS15190,143,73,72,265
dapE,600,490,535,950
moaA,974,800,789,1005
nac,114,49,98,84
HQ24_RS07295,59,108,73,89
glcD,491,574,446,313
pliG,260,215,262,27
yhdY,107,30,42,100
mhpA,33,29,31,19
ynjC,53,37,22,172
yehE,1061,426,506,166
rhlB,1641,1497,1170,4163
dmsB,73,47,54,59
ybiB,903,1563,1469,419
ydeI,4185,2536,3075,67
pyrE,14,15,12,257
tsaE,605,425,512,243
yraI,2,1,1,1
yfjR,4,2,3,10
HQ24_RS12630,98,135,90,34
melR,428,627,810,155
thrL,164,64,166,110
fliI,12,7,6,7426
yaeP,434,489,414,77
yhhT,2009,1389,1572,230
fabD,2005,3951,2395,4316
ttcA,570,917,725,845
yneG,24,18,7,144
rnr,3377,3619,3770,2146
idnR,111,44,41,125
ycbX,171,151,114,609
lptC,1871,2340,2353,742
folK,29,21,4,315
fliK,9,10,9,5111
HQ24_RS15255,2,1,1,8
ybeT,4,4,1,3
fmt,5544,2149,4486,2275
ldrD,199,192,127,96
mutM,45,21,40,182
pbpC,95,43,39,337
preT,112,170,144,98
gpsA,3841,1087,1929,3954
hycF,4,6,4,11
aspC,450,668,371,8515
kup,1240,240,338,871
nfeR,161,218,200,109
secG,576,1096,599,4731
ugd,1575,578,821,558
ybjJ,95,96,63,227
ychH,17726,84656,65365,293
yddM,676,629,662,282
yfdE,813,698,763,33
yjfM,52,64,47,6
yjjQ,9,5,4,5
rbfA,290,547,469,655
msrA,2352,1976,1793,437
dmlA,50,73,72,85
dnaG,1408,911,1249,4998
stfR,259,154,171,79
ychJ,40,27,30,356
yfbM,16,25,24,12
rsgA,558,821,612,1437
HQ24_RS02345,180,95,119,73
HQ24_RS26130,117,111,92,157
galU,3386,4573,4317,1708
yihV,120,119,113,50
yhhQ,154,62,95,162
HQ24_RS10240,11,6,9,37
clpA,11865,26099,23388,5158
sucD,690,216,294,15352
mdoH,2503,510,1225,3771
recA,15545,21881,18911,10132
dpiA,42,37,26,77
puuB,100,81,80,144
thiG,110,36,38,231
traK,83,58,47,3012
yhfG,191,162,245,195
pagP,84,58,51,27
cvrA,273,131,138,527
yidK,22,18,18,24
HQ24_RS06310,26,3,7,37
gatD,2358,147,241,29490
arnD,189,36,23,204
HQ24_RS08085,57,64,85,8
cysC,63,41,26,34
suhB,48,47,23,1505
dld,516,267,329,4130
nfsB,221,162,155,909
yciC,773,826,940,591
tus,228,205,324,261
fimD,72,43,60,175
HQ24_RS03635,123,62,74,18
pabA,1081,543,770,202
rfbD,509,520,432,3205
manX,9773,15896,12193,8865
caiB,55,30,44,76
aroH,112,163,99,1115
phnD,4,1,2,4
purR,63,85,42,3862
ygfK,125,37,72,83
dinJ,518,534,837,148
recC,458,322,316,1540
yhdE,576,371,358,886
ydhS,2628,1380,2031,464
yggR,24,33,17,46
yiiX,247,126,133,178
eutP,6,12,20,29
gyrB,1122,251,394,4457
acpP,9729,7791,7369,17159
yjbB,1614,1818,1835,459
lldP,1269,1969,1744,1103
yncP,77,261,145,56
flgI,19,6,14,5727
pgpB,963,522,508,303
yjfN,2857,7659,7291,227
proY,326,245,236,745
trbA,20,10,15,491
yegD,38,31,19,172
psuT,184,130,83,163
agp,4622,5311,8134,1972
frwD,32,23,15,26
chbB,570,570,645,241
rzpQ,4,4,7,7
kdpE,536,645,635,102
yacL,1410,934,3579,201
ybjN,158,50,61,601
yecD,146,146,100,348
bglX,507,773,564,1778
ibsE,0,0,0,0
dgoR,156,502,315,143
ypjD,106,176,112,553
HQ24_RS25510,3,3,3,5
HQ24_RS14910,9,16,10,2
msbA,334,231,228,1808
ligA,1241,1246,1366,1526
soxR,334,378,349,46
mlaB,882,1071,861,735
yphD,93,26,41,34
malM,149,103,163,3058
chaC,1845,2025,1578,368
nrdA,635,383,349,3325
solA,242,437,346,545
yccE,11,12,7,15
yheO,944,151,175,1072
gpmA,14334,13428,16314,4183
hyaE,172,20,149,16
phnM,15,5,4,8
yjjG,2002,2169,1452,591
HQ24_RS12640,252,62,158,38
HQ24_RS01415,30,19,21,91
HQ24_RS24455,23,24,22,24
asr,232,38,94,216
hybG,30,12,9,52
srmB,283,334,228,1452
nikB,10,6,6,15
ybeQ,37,22,36,14
serA,436,501,475,3877
ldtC,81,58,93,894
rrrQ,3,4,4,5
ybgQ,18,10,7,14
dhaK,133,197,188,512
ybcK,24,12,18,16
yhjD,3696,6452,5441,244
HQ24_RS24465,6,1,8,4
ykgF,184,87,88,369
moaC,347,75,151,329
rluD,1868,1101,1092,1697
yhfT,34,26,22,53
yidA,295,254,253,363
zraR,210,241,206,202
marB,11,4,9,27
aer,355,165,173,1441
ada,1272,1565,1382,263
osmB,3696,2796,4299,167
dicA,695,140,256,467
HQ24_RS26705,0,0,0,0
nfsA,180,290,219,379
glpE,124,98,70,268
pbp4b,152,45,82,277
hyfB,21,17,15,40
rsmB,1249,164,473,1619
yadN,2,3,0,3
cysP,91,165,108,695
deoB,9967,15766,14660,3406
lplT,838,293,317,645
thiK,295,197,203,306
yccA,3029,2763,3038,3875
bioH,120,179,138,171
cbpA,1849,1284,1792,489
ravA,834,646,575,478
ebgA,561,635,677,385
ftsZ,4727,4288,3511,7409
ecpC,124,66,74,70
mngA,19,29,27,23
HQ24_RS16675,48,107,64,66
HQ24_RS10745,2,4,2,17
ucpA,1433,5009,2745,2581
gntK,117,147,117,53
tadA,383,175,131,386
paaF,606,618,485,1857
alsE,25,18,18,39
sfsB,34,13,16,94
arnC,405,15,36,240
rlhA,142,96,51,1448
wecH,191,177,215,79
dps,8646,14532,25055,2172
cdd,4511,19768,10293,838
dut,103,131,82,717
ybiT,308,296,221,1948
fucU,142,170,148,188
phnL,64,19,35,8
fadJ,2704,2067,2855,3871
ompG,14,18,5,12
lacZ,1183,898,1228,285
eptB,308,105,117,1014
ibsA,2,4,0,0
metK,4517,2358,1911,2969
flgK,364,412,416,6745
ftsK,4608,3703,3959,5145
ndk,196,449,219,9297
iscA,1866,1833,1775,2202
rhtC,140,224,130,462
sanA,110,129,94,177
actP,2284,1841,2121,13308
cueO,219,318,203,594
paaX,1054,1473,1430,1090
ddpF,166,22,16,642
sbcC,163,73,77,657
ulaE,36,31,36,81
icd,1945,4675,3315,29505
yqcA,139,309,223,371
yncL,134,104,77,48
cusR,171,298,151,245
ddlA,437,322,290,1191
fecB,81,35,28,84
yciG,1595,158,342,29
yfgI,338,230,377,25
acpH,333,630,317,151
arcC,206,162,199,81
ybiV,73,184,137,124
hinT,1012,1638,1079,523
HQ24_RS18590,0,1,0,0
smrA,407,348,391,174
hslJ,550,527,494,98
panB,346,394,329,1058
efp,1877,2915,2054,3410
yfeY,232,347,202,805
yedK,656,677,691,51
HQ24_RS15245,3,0,1,6
carA,116,13,10,4810
putP,303,410,413,26329
dedD,926,1392,1024,1038
rplP,1096,1708,842,16731
ycjN,13,5,10,39
cydX,244,196,228,160
yaiO,388,315,480,26
HQ24_RS01100,8,4,2,40
eamA,653,309,325,696
barA,415,126,150,1296
pdeA,117,72,60,633
fliJ,5,1,1,1859
fucP,49,39,36,96
malZ,245,259,221,236
ogrK,50,23,53,28
cobU,58,73,63,110
radD,294,139,143,368
sdhD,270,198,203,3840
ulaF,54,35,53,93
asnA,599,963,1056,1054
wzx,369,268,239,2111
HQ24_RS20410,24,18,9,128
yhaI,108,80,98,19
yehR,41,39,36,15
sixA,5743,7244,6501,2088
HQ24_RS02905,168,112,89,63
btuB,248,118,143,2190
citF,1,2,1,4
chbG,171,212,155,211
yhiN,585,1009,755,443
HQ24_RS07505,42,27,57,55
rcsB,2066,4335,3606,3125
hyfF,42,27,32,54
rluE,100,57,55,239
coaD,432,921,644,251
nuoA,1469,758,992,4562
ydgH,226,276,214,2466
ydhK,182,68,65,345
zipA,4920,7709,5385,3564
hemG,337,197,171,384
ycjP,4,21,14,15
uidB,39,38,42,97
ybiA,53,37,31,64
mhpC,22,11,8,18
nrfB,671,568,546,178
mepA,103,49,33,978
yeeT,1,1,0,0
yejF,158,30,56,656
uof,93,128,72,133
HQ24_RS25990,0,0,0,1
yeeE,244,287,203,399
bioD,450,522,595,480
malP,1674,431,517,2822
guaB,208,686,497,5014
yafX,0,0,0,0
espX5,10,9,21,18
frlD,57,87,57,66
npr,221,85,87,254
yfjQ,16,14,11,26
trhO,156,150,110,1140
cmoM,206,210,166,785
amiB,1225,875,837,761
yeiL,55,35,49,31
HQ24_RS06840,21,25,17,15
mdtN,8,5,3,2
ydhP,262,192,180,234
yhfX,21,18,12,17
